"Status","Name","Duration in ms","Description"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9740","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11486","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10432","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9352","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9745","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10005","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9135","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9353","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9469","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11676","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9965","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10026","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9728","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10531","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","12332","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9554","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10479","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10678","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10423","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8888","验证核心科目1年增速PS-2020估值"
"failed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10695","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11216","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8744","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10634","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10553","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11049","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10304","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9343","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10155","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10456","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8908","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11639","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9467","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10402","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9769","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9102","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11918","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10316","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9255","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10637","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8770","验证核心科目1年增速PS-2020估值"
